latitude,longitude,proj_no,proj_name,budget,timeline,status,proj_lead,stakeholders,tags,area_catchment,drain_length,media_link,fid,ac_no,ac,ac_kn,Assembly,ward_id,Corporation,corporation_id,ward_name,ward_name_kn,corporation_kn
12.954359,77.594161,1,K100,Rs 175-crore,2021- Present,Active,Venkataramanan Associates,"BBMP, BWSSB, ?","Flood management, Lakes",32 sq km Number of micro watersheds: 32,28.06 km,https://bengaluru.citizenmatters.in/all-about-k100-stormwater-drain-citizens-waterway-project-69378,137,"169",Chickpet,ಚಿಕ್ಕಪೇಟೆ,169 - Chickpet,"35",Central,"1",35 - Hombegowda Nagara,ಹೊಂಬೇಗೌಡ ನಗರ,ಕೇಂದ್ರ
12.898601,77.578854,2,Sarakki lake rejuvenation,,,Completed,Local citizens,"BBMP, BWSSB",Lakes,,,https://bangaloremirror.indiatimes.com/bangalore/civic/palike-has-done-its-job-at-sarakki-lake-but-bwssb-is-behind-schedule-so-sewage-is-still-reaching-the-rejuvenated-lake/articleshow/70098157.cms,158,"175",Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175 - Bommanahalli,"53",South,"4",53 - Jaraganahalli,ಜರಗನಹಳ್ಳಿ,ದಕ್ಷಿಣ
13.02855,77.77422,3,Kannamangala lake rejuvenation,,"2019",Completed,FORCE-GW (Federation of RWAs & other establishments in Whitefield),"Biome, BBMP",Lakes,,,https://biometrust.blogspot.com/2020/10/kannamangala-lake-rejuvenation.html,,,,,,,,,,,
12.96833,77.676356,4,Vibhutipura Lake,,"2018",Completed,Bhumi,"-",Lakes,,,https://bhumi.ngo/blog/bengaluru-vibhutipura-lake/,363,"151",K.R. Pura,ಕೆ.ಆರ್. ಪುರ,151 - K.R. Pura,"24",East,"3",24 - Vignananagara,ವಿಜ್ಞಾನನಗರ,ಪೂರ್ವ
13.055703,77.638429,5,Ferns Residency layout,,,Completed,Biome Environmental Trust,Citizens,Groundwater management,,,,48,"151",K.R. Pura,ಕೆ.ಆರ್. ಪುರ,151 - K.R. Pura,"1",East,"3",1 - K Narayanapura,ಕೆ ನಾರಾಯಣಪುರ,ಪೂರ್ವ
13.086453,77.610669,6,Jakkur lake rejuvenation,,2008-2010,Completed,Jalaposhan (Local citizens),"BBMP, ATREE, Biome Environmental Trust, fishing community","Lakes, livelihoods",,,https://india.mongabay.com/2021/04/the-story-of-jakkur-lake-sets-an-example-for-inclusive-rejuvenation-projects/,365,"152",Byatarayanapura,ಬ್ಯಾಟರಾಯನಪುರ,152 - Byatarayanapura,"17",North,"2",17 - Jakkur,ಜಕ್ಕೂರು,ಉತ್ತರ
12.920462,77.582531,7,Sir M Visvesvaraya Rainwater Harvesting Theme Park,,,Completed,BWSSB,"Karnataka State Council for Science and Technology (KSCST), CII (Confederation of Indian Industry)","Rainwater harvesting, awareness building",,,https://www.karnataka.com/bangalore/visvesvaraya-rain-water-harvesting-theme-park/,162,"173",Jayanagar,ಜಯನಗರ,173 - Jayanagar,"12",South,"4",12 - Pattabhirama Nagara,ಪಟ್ಟಾಭಿರಾಮ ನಗರ,ದಕ್ಷಿಣ
13.063152,77.613654,8,Rachenahalli lake rejuvenation,,2017-18,Completed,Jal Mitra (Local citizens),"Mahatma Gandhi Institute of Rural Energy and Development, Biome Environmental Trust, ATREE, BBMP, BDA, UWbe (United Way Bengaluru)",Lakes,,,https://thelogicalindian.com/exclusive/bengaluru-rachenahalli-lake/?infinitescroll=1,365,"152",Byatarayanapura,ಬ್ಯಾಟರಾಯನಪುರ,152 - Byatarayanapura,"17",North,"2",17 - Jakkur,ಜಕ್ಕೂರು,ಉತ್ತರ
12.999327,77.728155,9,Sadarmangla lake rejuvenation,,,completed,,,Lakes,,,https://cddindia.org/waterbody-rejuvenation/,350,"174",Mahadevapura,ಮಹದೇವಪುರ,174 - Mahadevapura,"30",East,"3",30 - Belathur,ಬೆಳತ್ತೂರ್,ಪೂರ್ವ
12.865503,77.566374,10,Allahalli lake rejuvenation,,2011-2019,Completed,Alahalli Neighbourhood Lake Development Trust (ANLDT),BBMP,Lakes,,,https://bengaluru.citizenmatters.in/alahalli-lake-restored-after-eight-long-years-34618,202,"176",Bangalore South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,176 - Bangalore South,"41",South,"4",41 - Kothanur,ಕೊತ್ತನೂರು,ದಕ್ಷಿಣ
13.026486,77.645193,11,Challakere lake rejuvenation,,"2016",Completed,BBMP,FOL,Lakes,,,https://yourstory.com/2016/06/save-bengaluru-lakes,327,"151",K.R. Pura,ಕೆ.ಆರ್. ಪುರ,151 - K.R. Pura,"3",East,"3",3 - Chellakere,ಚೆಲ್ಲಕೆರೆ,ಪೂರ್ವ
12.934826,77.665308,12,Bellandur lake rejuvenation,,2021-ongoing,Active,Save Bellandur campaign (Local citizens),BBMP,Lakes,,,https://bangaloremirror.indiatimes.com/bangalore/civic/its-working-save-bellandur-initiative-is-showing-results/articleshow/66681628.cms,2,"174",Mahadevapura,ಮಹದೇವಪುರ,174 - Mahadevapura,"46",East,"3",46 - Yamalur,ಯಮಲೂರು,ಪೂರ್ವ
12.975118,77.688553,13,Doddanekkundi lake rejuvenation,,2015-?,Active,Nekkundi Tank Rejuvenation Association (NeTRA),BBMP,Lakes,,,https://www.deccanherald.com/content/459989/doddanekkundi-lake-gets-lease-life.html,303,"174",Mahadevapura,ಮಹದೇವಪುರ,174 - Mahadevapura,"43",East,"3",43 - Dodda Nekkundi,ದೊಡ್ಡ ನೆಕ್ಕುಂಡಿ,ಪೂರ್ವ
12.889912,77.587416,14,Puttenahalli lake rejuvenation,,2010-2011,Completed,Puttenahalli Neighbourhood Lake Improvement Trust (PNLIT),"BBMP,KSPCB",Lakes,,,https://www.puttenahallilake.in,124,"175",Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175 - Bommanahalli,"55",South,"4",55 - Puttenahalli,ಪುಟ್ಟೇನಹಳ್ಳಿ,ದಕ್ಷಿಣ
12.922558,77.666803,15,Iblur lake rejuvenation,,2016-2018,Completed,Iblur Environs Trust,"BBMP, MAPSAS",Lakes,,,https://www.deccanherald.com/city/relentless-locals-restore-691942.html,138,"175",Bommanahalli,ಬೊಮ್ಮನಹಳ್ಳಿ,175 - Bommanahalli,"70",South,"4",70 - Iblur,ಇಬ್ಬಲೂರು,ದಕ್ಷಿಣ
12.91314,77.673041,16,Kaikondrahalli lake rejuvenation,,2009-2011,Active,MAPSAS (Mahadevpura Parisara Samrakshane Mattu Abhivrudhi Samiti),BBMP,Lakes,,,https://www.mapsasblr.org/kkh-lake,179,"174",Mahadevapura,ಮಹದೇವಪುರ,174 - Mahadevapura,"31",South,"4",31 - Kasavanahalli,ಕಸವನಹಳ್ಳಿ,ದಕ್ಷಿಣ
12.903973,77.667712,17,Kasavanahalli lake rejuvenation,,2016-2017,Completed,MAPSAS (Mahadevpura Parisara Samrakshane Mattu Abhivrudhi Samiti),BBMP,Lakes,,,https://www.mapsasblr.org/ksv-lake,179,"174",Mahadevapura,ಮಹದೇವಪುರ,174 - Mahadevapura,"31",South,"4",31 - Kasavanahalli,ಕಸವನಹಳ್ಳಿ,ದಕ್ಷಿಣ
